feature,mean_abs_shap_l1,mean_abs_shap_l2,delta
X1_mannwhitney_pval,0.04644252700532557,0.10649794462647724,0.06005541762115167
log_pval_X1_mask,0.04056189464698508,0.08450578815035954,0.043943893503374465
X1_mean_diff,0.07077611348862436,0.10927455552920882,0.03849844204058446
coef_X1_abs,0.023173112629785747,0.057462839939346005,0.03428972730956026
mechdetect_auc_complete,0.017147654076520236,0.030166781477652893,0.013019127401132657
mechdetect_auc_excluded,0.023336797385935037,0.03119080852582626,0.007854011139891225
mechdetect_delta_complete_shuffled,0.008831791806738007,0.016268316112714894,0.007436524305976888
X0_mean_shift_X1_to_X4,0.007246278986116741,0.010655800803691448,0.003409521817574707
little_proxy_score,0.0057001539758692,0.007078831257451916,0.0013786772815827164
X0_tail_missing_ratio,0.0,0.0,0.0
X0_censoring_score,0.0,0.0,0.0
auc_mask_from_Xobs,0.025174076160094785,0.024549462925521383,-0.0006246132345734019
mechdetect_delta_complete_excluded,0.007804432095576403,0.0049397845684129036,-0.002864647527163499
X0_obs_vs_full_ratio,0.0061127161801824,0.001786987199394488,-0.004325728980787912
X0_ks_obs_vs_imputed,0.006748427614456049,0.002326441142518618,-0.004421986471937431
X0_obs_skew_diff,0.006924449418118419,0.0020569812522011,-0.00486746816591732
X0_missing_rate,0.007488499136116949,0.00207750179937533,-0.00541099733674162
X0_iqr_ratio,0.014725831692438754,0.0034338159491750777,-0.011292015743263675
mechdetect_auc_shuffled,0.024131185749671335,0.0029504431900521546,-0.02118074255961918
mechdetect_mwu_pvalue,0.02553948396156716,0.0039687083741155125,-0.02157077558745165
mask_entropy,0.08397503332908866,0.0037168405588751123,-0.08025819277021355
